,housing,campaign,job,age,loan,marital,education
146,no,1,blue-collar,42,no,married,basic.4y
147,yes,1,admin.,35,no,single,high.school
148,yes,1,admin.,40,no,married,university.degree
149,yes,1,blue-collar,51,no,married,basic.4y
150,no,1,blue-collar,60,no,married,basic.9y
151,yes,1,entrepreneur,56,no,married,unknown
152,yes,1,services,39,no,divorced,high.school
153,no,1,entrepreneur,56,no,married,unknown
154,yes,1,blue-collar,40,yes,married,unknown
155,yes,1,blue-collar,36,yes,married,basic.9y
156,yes,1,blue-collar,51,no,married,unknown
157,no,1,blue-collar,51,no,married,unknown
158,yes,2,technician,43,no,single,professional.course
159,no,2,services,59,no,married,high.school
160,yes,2,management,24,no,single,university.degree
161,yes,2,blue-collar,37,yes,single,basic.9y
162,no,1,blue-collar,40,no,married,basic.9y
163,no,3,blue-collar,42,no,married,basic.9y
164,no,1,services,39,no,divorced,high.school
165,no,1,entrepreneur,37,no,married,basic.6y
166,yes,1,services,38,yes,married,high.school
167,no,2,admin.,56,no,divorced,unknown
168,no,2,blue-collar,40,no,married,unknown
169,yes,2,management,54,no,divorced,university.degree
170,no,1,blue-collar,43,yes,married,high.school
171,no,1,services,36,no,married,high.school
172,yes,1,technician,45,yes,married,university.degree
173,no,1,admin.,42,no,single,university.degree
174,no,3,services,43,no,married,high.school
175,no,2,management,46,no,married,basic.9y
176,yes,1,services,44,yes,married,high.school
177,no,2,admin.,51,no,single,basic.6y
178,yes,1,services,28,no,married,high.school
179,no,1,blue-collar,37,no,married,basic.9y
180,no,1,technician,34,no,married,high.school
181,yes,1,blue-collar,46,no,married,basic.6y
182,yes,2,blue-collar,42,yes,married,basic.9y
183,yes,3,admin.,36,no,married,university.degree
184,no,1,blue-collar,54,no,married,basic.4y
185,no,1,management,57,no,married,university.degree
186,no,1,technician,51,no,married,basic.6y
187,no,1,retired,54,no,married,high.school
188,no,1,blue-collar,49,no,married,basic.4y
189,yes,1,admin.,34,no,married,university.degree
190,no,1,technician,41,no,married,professional.course
191,yes,2,blue-collar,38,no,single,basic.9y
192,no,2,management,45,no,divorced,university.degree
193,no,2,technician,42,no,married,university.degree
194,yes,1,blue-collar,34,no,single,basic.9y
195,yes,1,blue-collar,48,no,married,basic.4y
196,yes,1,admin.,37,no,married,high.school
197,no,1,blue-collar,34,no,single,basic.9y
198,yes,2,admin.,40,no,married,basic.9y
199,yes,1,blue-collar,43,no,married,basic.6y
200,no,2,services,33,no,married,high.school
201,no,1,services,32,no,single,basic.6y
202,yes,2,blue-collar,39,no,married,high.school
203,no,1,admin.,43,no,married,unknown
204,yes,1,blue-collar,44,no,married,basic.9y
205,no,1,student,35,no,single,university.degree
206,yes,1,student,35,yes,single,university.degree
207,no,1,unemployed,35,no,married,professional.course
208,no,1,services,36,no,single,basic.4y
209,yes,1,student,35,no,single,university.degree
210,yes,1,student,36,no,single,basic.9y
211,no,1,housemaid,55,no,divorced,university.degree
212,no,1,admin.,59,no,married,university.degree
213,no,2,retired,57,no,married,unknown
214,yes,1,blue-collar,39,no,married,professional.course
215,yes,2,housemaid,39,no,married,basic.4y
216,yes,1,blue-collar,30,no,single,unknown
217,yes,1,blue-collar,30,yes,single,unknown
218,no,1,housemaid,50,no,married,basic.4y
219,no,3,services,40,no,married,high.school
220,yes,2,admin.,35,no,married,high.school
221,no,2,technician,43,no,married,unknown
222,yes,1,services,36,no,single,basic.6y
223,yes,1,technician,46,no,married,basic.4y
224,no,1,technician,40,no,married,basic.9y
225,no,1,retired,58,no,married,university.degree
226,no,2,technician,42,no,married,university.degree
227,no,2,admin.,35,no,single,university.degree
228,no,3,retired,43,no,married,basic.4y
229,yes,1,blue-collar,45,yes,married,basic.4y
230,yes,2,admin.,39,no,married,professional.course
231,yes,1,services,50,no,divorced,professional.course
232,yes,2,management,32,no,divorced,basic.4y
233,no,1,admin.,39,no,married,high.school
234,no,1,self-employed,52,no,married,university.degree
235,yes,1,admin.,44,no,married,professional.course
236,no,1,blue-collar,56,no,married,basic.4y
237,no,2,admin.,48,no,married,high.school
238,no,2,services,33,yes,married,high.school
239,no,3,management,43,yes,married,university.degree
240,no,2,retired,57,no,married,high.school
241,no,1,technician,36,no,single,professional.course
242,yes,1,management,34,no,married,university.degree
243,no,2,services,34,no,single,basic.9y
244,no,1,technician,30,no,married,university.degree
245,no,2,services,33,no,divorced,unknown
246,no,1,technician,32,no,single,professional.course
247,yes,2,technician,36,no,single,high.school
248,no,1,blue-collar,36,yes,single,high.school
249,no,1,services,33,no,single,high.school
250,no,1,technician,40,no,divorced,professional.course
251,yes,1,blue-collar,41,no,married,basic.4y
252,yes,1,services,51,no,married,basic.6y
253,yes,3,technician,36,no,married,professional.course
254,no,2,services,28,no,married,unknown
255,yes,3,services,53,yes,married,high.school
256,yes,2,blue-collar,58,no,married,basic.9y
257,no,1,management,45,yes,married,basic.9y
258,yes,1,technician,43,no,married,unknown
259,no,1,admin.,33,yes,married,high.school
260,no,1,admin.,33,yes,married,high.school
261,unknown,1,blue-collar,27,unknown,single,basic.6y
262,no,1,technician,42,no,married,high.school
263,no,3,admin.,43,no,divorced,basic.9y
264,no,2,admin.,42,no,married,university.degree
265,no,1,blue-collar,27,no,single,basic.6y
266,yes,2,self-employed,34,no,single,university.degree
267,no,2,student,31,no,single,university.degree
268,no,2,management,54,no,divorced,university.degree
269,no,3,self-employed,40,no,married,basic.4y
270,yes,1,unemployed,52,no,married,high.school
271,no,2,management,47,no,divorced,university.degree
272,no,1,housemaid,49,no,married,basic.9y
273,no,2,admin.,32,no,single,high.school
274,yes,2,housemaid,49,yes,single,high.school
275,no,1,blue-collar,50,no,married,basic.9y
276,no,1,services,34,no,married,high.school
277,no,2,blue-collar,55,no,married,basic.4y
278,no,4,technician,47,no,single,basic.9y
279,no,3,retired,51,no,married,professional.course
280,no,2,blue-collar,47,no,married,basic.6y
281,yes,3,technician,56,no,married,basic.4y
282,no,3,admin.,53,no,married,basic.9y
283,yes,2,blue-collar,36,no,married,basic.9y
284,yes,2,blue-collar,42,no,divorced,basic.9y
285,no,2,blue-collar,44,no,divorced,basic.6y
286,yes,3,housemaid,39,no,married,basic.9y
287,yes,2,admin.,37,yes,single,high.school
288,yes,2,blue-collar,60,no,married,unknown
289,no,2,services,36,no,married,high.school
290,yes,2,management,42,no,divorced,university.degree
291,yes,2,admin.,31,yes,married,high.school
292,no,2,technician,53,yes,divorced,professional.course
293,yes,2,blue-collar,45,no,married,basic.4y
294,yes,2,technician,37,no,single,professional.course
295,no,2,self-employed,47,no,married,professional.course
296,no,2,blue-collar,49,yes,divorced,high.school
297,yes,2,admin.,36,no,married,university.degree
298,no,3,services,35,no,divorced,high.school
299,no,4,unknown,38,no,married,unknown
300,no,2,services,38,no,single,high.school
301,no,2,blue-collar,50,yes,divorced,high.school
302,no,2,retired,59,no,married,professional.course
303,yes,2,unknown,43,no,married,unknown
304,yes,2,admin.,42,no,married,high.school
305,yes,2,admin.,40,no,married,basic.6y
306,no,2,blue-collar,46,no,married,unknown
307,yes,2,housemaid,57,yes,divorced,basic.4y
308,yes,3,admin.,42,no,married,university.degree
309,yes,2,blue-collar,41,no,married,basic.4y
310,yes,3,management,54,no,divorced,university.degree
311,no,2,admin.,27,no,single,university.degree
312,no,2,admin.,36,no,married,high.school
313,yes,2,blue-collar,58,no,married,professional.course
314,yes,2,management,40,no,married,university.degree
315,no,2,admin.,34,no,single,basic.9y
316,no,2,admin.,33,no,divorced,high.school
317,no,2,retired,56,no,married,basic.6y
318,no,2,blue-collar,42,no,married,basic.9y
319,yes,2,services,43,no,married,high.school
320,yes,3,management,54,no,single,basic.9y
321,yes,2,admin.,53,yes,single,basic.6y
322,no,2,technician,42,no,single,unknown
323,no,3,services,40,no,married,basic.6y
324,yes,2,technician,54,yes,married,professional.course
325,no,4,housemaid,40,no,single,professional.course
326,yes,3,admin.,26,no,single,university.degree
327,no,3,admin.,33,no,married,high.school
328,no,2,blue-collar,35,no,married,basic.9y
329,no,3,admin.,36,no,married,high.school
330,yes,2,services,29,no,single,high.school
331,yes,2,blue-collar,36,no,married,basic.9y
332,yes,5,management,35,no,married,high.school
333,no,5,self-employed,50,yes,single,university.degree
334,yes,3,services,46,no,married,high.school
335,yes,4,entrepreneur,49,no,married,high.school
336,yes,2,technician,42,no,single,professional.course
337,yes,3,blue-collar,36,yes,single,high.school
338,yes,2,blue-collar,55,no,married,basic.9y
339,no,2,management,41,no,married,university.degree
340,yes,3,management,57,no,married,professional.course
341,yes,3,services,32,no,single,high.school
342,no,3,admin.,49,no,married,basic.9y
343,yes,2,unknown,57,no,married,unknown
344,yes,2,blue-collar,58,no,divorced,basic.4y
345,yes,2,technician,52,no,married,high.school
346,no,2,services,50,no,divorced,professional.course
347,yes,4,blue-collar,41,no,single,basic.9y
348,yes,3,entrepreneur,33,no,married,university.degree
349,no,2,blue-collar,57,no,married,basic.4y
350,no,3,blue-collar,48,no,married,basic.6y
351,no,2,technician,55,no,married,professional.course
352,no,2,management,38,no,married,university.degree
353,yes,3,services,38,no,married,high.school
354,yes,2,admin.,53,no,married,university.degree
355,no,4,unemployed,43,no,single,university.degree
356,no,2,blue-collar,36,no,single,high.school
357,no,2,blue-collar,32,no,married,basic.9y
358,no,3,services,33,no,married,basic.4y
359,yes,2,entrepreneur,58,no,married,basic.4y
360,no,3,unemployed,40,no,divorced,high.school
361,yes,2,management,57,no,married,university.degree
362,yes,3,technician,45,no,married,high.school
363,yes,3,blue-collar,42,no,married,basic.4y
364,yes,1,admin.,46,no,married,university.degree
365,no,1,technician,36,no,married,university.degree
366,yes,1,self-employed,41,no,married,high.school
367,no,1,admin.,57,no,divorced,basic.9y
368,yes,1,blue-collar,49,no,married,basic.9y
369,no,1,management,56,no,divorced,high.school
370,no,1,blue-collar,37,no,married,basic.9y
371,no,1,blue-collar,37,yes,married,basic.9y
372,yes,1,admin.,46,no,single,high.school
373,yes,1,blue-collar,22,no,single,basic.9y
374,no,1,services,43,no,married,high.school
375,no,1,blue-collar,49,no,married,unknown
376,yes,1,technician,41,no,married,basic.6y
377,no,1,admin.,38,no,single,university.degree
378,no,1,admin.,33,no,married,basic.9y
379,yes,1,admin.,49,yes,married,university.degree
380,no,2,blue-collar,30,no,single,unknown
381,yes,1,admin.,33,no,married,basic.9y
382,no,1,management,34,no,single,university.degree
383,no,1,student,30,no,single,unknown
384,yes,1,management,59,yes,married,basic.4y
385,unknown,1,management,59,unknown,married,basic.4y
386,no,1,self-employed,41,no,married,university.degree
387,yes,4,housemaid,48,yes,married,basic.6y
388,yes,1,unknown,28,yes,single,unknown
389,yes,1,services,44,no,married,high.school
390,no,1,retired,59,no,unknown,university.degree
391,no,1,management,50,no,married,high.school
392,no,1,admin.,35,no,married,university.degree
393,no,1,admin.,42,no,married,high.school
394,no,1,admin.,45,no,married,basic.9y
395,no,2,technician,36,no,married,professional.course
396,no,3,services,56,no,married,high.school
397,no,1,blue-collar,29,no,divorced,basic.4y
398,yes,2,self-employed,41,yes,married,university.degree
399,no,1,blue-collar,42,no,married,basic.9y
400,no,1,services,52,no,single,high.school
401,unknown,1,services,48,unknown,married,high.school
402,yes,1,blue-collar,31,no,married,high.school
403,yes,1,unemployed,43,no,married,university.degree
404,no,1,blue-collar,36,no,married,basic.4y
405,yes,1,entrepreneur,42,no,married,university.degree
406,no,1,services,52,no,divorced,basic.6y
407,yes,2,admin.,39,no,married,high.school
408,no,2,services,36,yes,married,high.school
409,yes,1,blue-collar,42,no,married,basic.9y
410,no,1,admin.,41,no,married,high.school
411,no,1,technician,55,yes,married,basic.4y
412,no,1,blue-collar,30,no,married,basic.9y
413,no,1,retired,57,no,unknown,basic.4y
414,yes,1,entrepreneur,45,no,married,basic.4y
415,yes,2,blue-collar,51,yes,married,basic.4y
416,yes,1,self-employed,39,yes,single,basic.9y
417,no,1,admin.,47,no,married,high.school
418,yes,1,services,27,no,married,high.school
419,yes,1,technician,34,no,single,university.degree
420,yes,1,blue-collar,57,no,married,basic.4y
421,no,1,entrepreneur,43,no,married,basic.4y
422,no,1,blue-collar,49,no,married,basic.4y
423,no,3,management,39,no,married,university.degree
424,yes,1,blue-collar,38,no,married,basic.4y
425,no,2,blue-collar,49,no,married,basic.9y
426,no,1,management,58,no,married,basic.6y
427,yes,1,technician,43,no,married,professional.course
428,yes,3,unknown,50,no,married,unknown
429,no,1,services,31,no,married,high.school
430,no,1,self-employed,43,no,divorced,university.degree
431,no,1,self-employed,43,no,married,basic.9y
432,yes,1,self-employed,30,no,single,university.degree
433,yes,1,services,27,yes,single,professional.course
434,no,1,services,51,no,married,unknown
435,yes,2,technician,37,no,married,professional.course
436,yes,1,housemaid,46,no,married,basic.9y
437,no,1,blue-collar,35,no,married,professional.course
438,no,1,admin.,47,no,divorced,university.degree
439,yes,1,management,46,no,married,unknown
440,no,1,technician,40,yes,married,professional.course
441,no,1,housemaid,26,no,married,university.degree
442,no,2,blue-collar,32,no,divorced,basic.9y
443,yes,1,management,45,no,married,university.degree
444,no,1,admin.,34,no,married,basic.9y
445,no,1,blue-collar,47,no,married,unknown
446,no,1,technician,42,no,married,professional.course
447,no,1,technician,57,yes,married,basic.4y
448,no,1,technician,57,no,married,basic.4y
449,no,1,blue-collar,38,yes,married,basic.4y
450,no,1,technician,57,no,married,basic.4y
451,yes,1,student,28,no,single,basic.9y
452,no,2,management,60,no,married,university.degree
453,yes,1,admin.,48,no,married,university.degree
454,yes,1,technician,47,no,married,professional.course
455,no,1,admin.,40,no,married,high.school
456,yes,2,management,51,no,married,professional.course
457,yes,1,unemployed,48,no,single,basic.4y
458,no,2,housemaid,54,no,married,basic.4y
459,no,1,blue-collar,40,yes,married,basic.6y
460,no,1,admin.,44,no,single,basic.9y
461,no,4,technician,42,no,divorced,high.school
462,yes,1,self-employed,52,no,married,university.degree
463,yes,1,blue-collar,31,no,single,basic.9y
464,no,1,services,32,no,married,high.school
465,yes,1,admin.,44,yes,married,high.school
466,no,1,management,39,no,married,basic.6y
467,yes,3,management,57,no,married,professional.course
468,yes,1,admin.,52,no,married,basic.4y
469,no,1,management,42,no,married,university.degree
470,unknown,1,technician,42,unknown,single,professional.course
471,yes,1,management,43,no,married,professional.course
472,no,1,admin.,31,no,divorced,high.school
473,yes,1,admin.,29,no,married,university.degree
474,no,2,blue-collar,57,no,divorced,basic.4y
475,no,1,blue-collar,44,no,married,basic.9y
476,no,1,unknown,59,no,married,unknown
477,no,1,blue-collar,39,no,married,basic.4y
478,no,1,retired,57,no,married,university.degree
479,no,1,management,41,no,married,unknown
480,no,1,technician,37,yes,single,high.school
481,yes,1,services,38,no,married,high.school
482,no,1,retired,42,no,married,basic.4y
483,yes,1,unknown,49,no,married,unknown
484,yes,1,management,54,yes,married,basic.6y
485,unknown,2,admin.,36,unknown,married,university.degree
486,no,1,admin.,32,no,single,university.degree
487,yes,1,technician,35,no,married,professional.course
488,no,2,housemaid,45,no,married,professional.course
489,yes,2,technician,56,no,married,unknown
490,yes,2,technician,34,no,married,university.degree
491,no,2,unemployed,41,no,married,basic.9y
492,no,2,services,41,no,married,basic.9y
493,no,1,blue-collar,36,no,married,basic.9y
494,unknown,1,admin.,32,unknown,single,university.degree
495,unknown,1,services,31,unknown,married,high.school
496,yes,1,technician,38,no,married,professional.course
497,yes,1,admin.,35,no,divorced,university.degree
498,yes,2,admin.,53,no,married,professional.course
499,yes,1,admin.,51,no,married,basic.6y
500,no,1,entrepreneur,56,no,married,university.degree
501,unknown,1,admin.,33,unknown,married,basic.9y
502,no,1,admin.,33,no,married,basic.9y
503,yes,1,services,51,no,divorced,high.school
504,yes,1,services,39,no,married,high.school
505,no,1,entrepreneur,45,no,married,university.degree
506,no,3,technician,40,no,single,university.degree
507,yes,1,unknown,60,no,single,unknown
508,yes,1,technician,33,no,married,university.degree
509,yes,1,blue-collar,47,no,married,high.school
510,no,1,blue-collar,48,no,married,basic.4y
511,no,2,entrepreneur,43,no,married,high.school
512,yes,1,management,37,no,married,university.degree
513,yes,1,services,50,yes,married,basic.9y
514,yes,1,entrepreneur,59,no,married,high.school
515,yes,2,technician,32,no,married,unknown
516,yes,1,housemaid,42,no,single,basic.4y
517,no,2,blue-collar,52,no,married,basic.4y
518,no,2,blue-collar,42,no,married,unknown
519,no,1,admin.,42,no,married,unknown
520,unknown,1,management,40,unknown,married,basic.9y
521,no,1,blue-collar,38,no,married,basic.9y
522,yes,1,blue-collar,39,no,married,basic.6y
523,no,1,blue-collar,39,no,married,basic.6y
524,no,1,admin.,38,no,married,high.school
525,yes,1,admin.,47,no,single,unknown
526,no,1,services,30,no,single,high.school
527,yes,2,admin.,38,yes,divorced,high.school
528,no,1,technician,39,no,divorced,university.degree
529,no,2,admin.,44,no,married,high.school
530,no,2,admin.,36,no,married,high.school
531,yes,1,services,41,yes,married,high.school
532,no,1,blue-collar,41,no,married,basic.6y
533,no,2,blue-collar,35,no,married,basic.9y
534,no,1,technician,41,no,married,high.school
535,no,1,services,36,no,married,high.school
536,yes,1,admin.,35,yes,single,high.school
537,no,1,blue-collar,33,no,single,basic.4y
538,no,1,admin.,38,no,single,basic.6y
539,no,1,self-employed,33,no,married,university.degree
540,no,1,self-employed,55,no,married,unknown
541,no,1,blue-collar,36,no,single,basic.9y
542,no,1,technician,57,yes,married,professional.course
543,yes,2,entrepreneur,32,no,single,university.degree
544,yes,1,self-employed,30,no,single,high.school
545,yes,2,admin.,43,yes,married,professional.course
546,no,2,admin.,46,no,married,university.degree
547,no,2,admin.,35,yes,divorced,high.school
548,yes,1,admin.,34,yes,single,university.degree
549,unknown,1,blue-collar,50,unknown,married,basic.4y
550,no,2,admin.,39,no,single,university.degree
551,no,1,blue-collar,39,no,married,basic.9y
552,no,2,entrepreneur,42,no,married,basic.6y
553,yes,1,retired,57,no,married,university.degree
554,no,1,blue-collar,45,no,married,basic.4y
555,no,1,technician,40,yes,married,basic.4y
556,no,3,blue-collar,42,yes,married,high.school
557,no,1,technician,40,no,married,basic.4y
558,no,1,blue-collar,38,no,single,basic.4y
559,yes,1,blue-collar,39,yes,married,basic.6y
560,no,1,blue-collar,41,no,married,basic.4y
561,yes,1,blue-collar,39,no,married,basic.6y
562,yes,1,blue-collar,41,yes,married,basic.4y
563,no,1,admin.,45,no,married,university.degree
564,unknown,1,admin.,35,unknown,divorced,university.degree
565,yes,1,admin.,35,no,married,basic.6y
566,no,1,blue-collar,49,no,married,high.school
567,no,2,technician,36,no,married,unknown
568,no,3,admin.,23,no,single,university.degree
569,unknown,2,unemployed,43,unknown,married,university.degree
570,unknown,2,entrepreneur,49,unknown,married,professional.course
571,unknown,2,technician,36,unknown,married,professional.course
572,yes,2,blue-collar,51,no,married,basic.9y
573,yes,4,retired,56,yes,married,basic.4y
574,no,2,housemaid,45,no,married,high.school
575,no,3,admin.,42,no,married,high.school
576,no,4,admin.,41,no,divorced,high.school
577,no,2,services,32,yes,married,high.school
578,no,2,management,46,no,married,university.degree
579,no,3,blue-collar,37,no,married,unknown
580,no,1,management,53,no,married,university.degree
581,no,2,blue-collar,30,no,married,basic.4y
582,no,1,unknown,45,no,married,unknown
583,no,2,technician,24,yes,single,professional.course
584,no,1,unknown,45,no,married,unknown
585,no,2,admin.,34,yes,single,university.degree
586,no,2,management,41,no,married,university.degree
587,yes,2,blue-collar,59,no,married,basic.4y
588,no,1,blue-collar,45,no,married,basic.4y
589,no,5,blue-collar,54,no,married,basic.6y
590,no,3,technician,32,no,married,professional.course
591,yes,2,technician,33,no,married,professional.course
592,no,1,admin.,32,no,married,university.degree
593,unknown,2,services,34,unknown,single,high.school
594,no,2,management,46,no,married,university.degree
595,yes,4,technician,57,no,married,professional.course
596,no,1,technician,42,no,married,basic.9y
597,yes,2,admin.,48,no,married,professional.course
598,yes,1,admin.,58,no,divorced,university.degree
599,no,1,services,34,no,married,high.school
600,yes,1,admin.,32,yes,single,university.degree
601,no,2,blue-collar,48,no,married,basic.9y
602,no,1,blue-collar,47,no,married,basic.9y
603,no,1,services,31,no,married,high.school
604,yes,1,admin.,32,no,single,university.degree
605,no,1,admin.,32,no,single,university.degree
606,no,1,services,36,no,married,high.school
607,no,2,blue-collar,53,yes,married,basic.4y
608,no,5,blue-collar,37,no,married,basic.9y
609,no,1,services,50,no,married,high.school
610,yes,2,blue-collar,46,no,married,basic.6y
611,no,1,admin.,41,no,married,high.school
612,no,1,blue-collar,43,no,single,basic.4y
613,yes,3,management,51,no,married,university.degree
614,yes,1,admin.,38,no,married,university.degree
615,yes,2,technician,41,no,married,basic.6y
616,no,4,services,39,no,married,high.school
617,no,2,blue-collar,52,no,married,basic.4y
618,yes,2,technician,37,no,married,professional.course
619,yes,3,admin.,41,no,married,basic.9y
620,yes,1,admin.,46,yes,divorced,university.degree
621,no,4,technician,47,no,married,professional.course
622,no,3,technician,35,no,married,professional.course
623,no,2,services,38,no,married,high.school
624,yes,2,blue-collar,30,yes,single,unknown
625,yes,1,blue-collar,46,no,married,basic.9y
626,no,1,technician,30,no,married,professional.course
627,no,1,services,35,no,single,basic.4y
628,yes,2,admin.,58,no,married,unknown
629,no,2,technician,40,no,married,professional.course
630,no,2,technician,34,no,married,university.degree
631,no,1,admin.,30,no,single,university.degree
632,no,2,services,38,no,married,basic.6y
633,no,1,management,55,no,single,basic.4y
634,yes,3,management,55,no,married,university.degree
